, Days_On_Market,Bathrooms,Bedrooms,City,Monthly Rental,SQFT,State,Street_Address,Zip_Code
0,3 days ago,1,2, Bronx ,1950,900,NY ,632 Morris Ave APT 3,10451
1,15 days ago,1,1, Bronx ,1795,900,NY ,910 Grand Concourse APT 6F,10451
2,27 days ago,1,2, Bronx ,1850,1000,NY ,813 Courtlandt Ave # 2,10451
3,3 days ago,1,1, Bronx ,1350,570,NY ,Macombs Rd,10452
4,7 days ago,1,2, Bronx ,2007,778,NY ,Ogden Ave,10452
5,12 days ago,1,1, Bronx ,1495,600,NY ,1631 Walton Ave APT D14,10452
6,15 days ago,1,1, Bronx ,1400,2100,NY ,Grand Concourse,10452
7,7 days ago,1,1, Bronx ,1700,900,NY ,Grand Concourse,10453
8,7 days ago,1,1, Bronx ,1450,2762,NY ,1645 Popham Ave,10453
9,9 days ago,1,2, Bronx ,2100,913,NY ,Undercliff Ave,10453
10,10 days ago,1,2, Bronx ,2000,875,NY ,161-165 E 179 St # 4D,10453
11,50 days ago,1,2, Bronx ,1600,800,NY ,352 E 139th St # 1,10454
12,104 days ago,2,2, Bronx ,2600,1400,NY ,462 E 134th St APT 1A,10454
13,1 day ago,1,3, Bronx ,2000,900,NY ,429 E 153rd St # 1A,10455
14,2 days ago,1,2, Bronx ,1900,800,NY ,E 152nd St,10455
15,25 days ago,1,2, Bronx ,1850,1000,NY ,674 Union Ave APT 3,10455
16,30 days ago,1,4, Bronx ,2250,1200,NY ,385 E 152nd St,10455
17,31 days ago,1,1, Bronx ,1450,650,NY ,514 Tinton Ave APT 10N,10455
18,63 days ago,1,2, Bronx ,1700,1000,NY ,422 E 148th St APT 2W,10455
19,14 hours ago,1,1, Bronx ,1600,600,NY ,1212 Grand Concourse,10456
20,6 days ago,1,3, Bronx ,2000,3055,NY ,1123 Forest Ave,10456
21,11 days ago,1,4, Bronx ,2000,2244,NY ,1319 Teller Ave,10456
22,1 day ago,1,1, Bronx ,1250,900,NY ,(Undisclosed Address),10457
23,2 days ago,1,1, Bronx ,1250,700,NY ,239 E 175th St,10457
24,3 days ago,1,1, Bronx ,1340,800,NY ,2033 Valentine Ave APT 31A,10457
25,3 days ago,1,1, Bronx ,1300,650,NY ,Bathgate Ave,10457
26,10 days ago,1,3, Bronx ,2000,2850,NY ,Belmont Ave,10457
27,3 days ago,1,1, Bronx ,1100,540,NY ,Grand Concourse,10458
28,23 hours ago,1,2, Bronx ,1975,800,NY ,1057 Hoe Ave APT 8D,10459
29,23 days ago,1,2, Bronx ,2100,131212,NY ,Hoe Ave,10459
30,3 days ago,1,1, Bronx ,1400,3568,NY ,Van Buren St,10460
31,9 days ago,2,3, Bronx ,1990,1000,NY ,Vyse Ave,10460
32,9 days ago,1,2, Bronx ,1625,18300,NY ,878 E 176th St,10460
33,9 days ago,1,1, Bronx ,1150,600,NY ,E Tremont Ave,10460
34,14 days ago,1,3, Bronx ,2150,2016,NY ,Melville St,10460
35,1 day ago,1,1, Bronx ,1300,700,NY ,E 215th St,10467
36,2 days ago,1,1, Bronx ,250,250,NY ,2753 Cruger Ave # 1,10467
37,3 days ago,1,4, Bronx ,2100,1200,NY ,3311 Parkside Pl,10467
38,5 days ago,1,3, Bronx ,1950,1300,NY ,2820 Bronx Park E,10467
39,1 day ago,1,1, Bronx ,1550,600,NY ,Davidson Ave,10468
40,1 day ago,1,3, Bronx ,1950,1250,NY ,3167 Villa Ave,10468
41,14 days ago,1,2, Bronx ,1300,3350,NY ,Seneca Ave,10474
42,14 days ago,1,3, Bronx ,2100,2520,NY ,(Undisclosed Address),10474
43,14 days ago,1,3, Bronx ,2300,38720,NY ,(Undisclosed Address),10474
