,Bathrooms,Bedrooms,Days_On_Market,Home_Size,Home_Type,Latitude,Longitude,Monthly_Rental,Serial_Number,State,Street_Address,Zest_LD,Zillow_ID,Zip_Code
0,1,2,3 days ago,900,MultiFamily2To4,40.819169,-73.921647,1950,0,NY ,632 Morris Ave APT 3,04/18/2017,2102971148,10451
1,1,1,15 days ago,900,MultiFamily2To4,40.827792,-73.921559,1795,1,NY ,910 Grand Concourse APT 6F,04/18/2017,2094716681,10451
2,1,2,27 days ago,1000,MultiFamily2To4,40.823185,-73.916651,1850,2,NY ,813 Courtlandt Ave # 2,04/20/2017,2094850011,10451
3,1,1,12 days ago,600,MultiFamily2To4,40.844552,-73.912527,1495,3,NY ,1631 Walton Ave APT D14,04/20/2017,2097024582,10452
4,1,1,7 days ago,2762,MultiFamily5Plus,40.849109,-73.921235,1450,4,NY ,1645 Popham Ave,12/31/1969,29782328,10453
5,1,2,10 days ago,875,MultiFamily2To4,40.851448,-73.905605,2000,5,NY ,161-165 E 179 St # 4D,04/20/2017,2096291964,10453
6,1,2,50 days ago,800,MultiFamily2To4,40.810127,-73.923844,1600,6,NY ,352 E 139th St # 1,04/18/2017,2095105926,10454
7,2,2,104 days ago,1400,MultiFamily2To4,40.805475,-73.922779,2600,7,NY ,462 E 134th St APT 1A,04/18/2017,2095778202,10454
8,1,3,1 day ago,900,MultiFamily2To4,40.818775,-73.915279,2000,8,NY ,429 E 153rd St # 1A,12/31/1969,2094547497,10455
9,1,2,25 days ago,1000,MultiFamily2To4,40.815797,-73.904018,1850,9,NY ,674 Union Ave APT 3,04/18/2017,2119523114,10455
10,1,4,30 days ago,1200,MultiFamily5Plus,40.81858,-73.91729,2250,10,NY ,385 E 152nd St,12/31/1969,29777691,10455
11,1,1,31 days ago,650,MultiFamily2To4,40.811607,-73.906418,1450,11,NY ,514 Tinton Ave APT 10N,04/20/2017,2094896390,10455
12,1,2,63 days ago,1000,MultiFamily2To4,40.814729,-73.917321,1700,12,NY ,422 E 148th St APT 2W,04/18/2017,2100268256,10455
13,1,1,14 hours ago,600,MultiFamily2To4,40.834509,-73.916864,1600,13,NY ,1212 Grand Concourse,12/31/1969,2106535800,10456
14,1,3,6 days ago,3055,Townhouse,40.82749,-73.902605,2000,14,NY ,1123 Forest Ave,04/20/2017,29779318,10456
15,1,4,11 days ago,2244,MultiFamily5Plus,40.834965,-73.910345,2000,15,NY ,1319 Teller Ave,12/31/1969,29781397,10456
16,1,1,2 days ago,700,MultiFamily5Plus,40.846844,-73.905935,1250,16,NY ,239 E 175th St,12/31/1969,2095825763,10457
17,1,1,3 days ago,800,MultiFamily2To4,40.851391,-73.900648,1340,17,NY ,2033 Valentine Ave APT 31A,12/31/1969,2094581051,10457
18,1,2,23 hours ago,800,MultiFamily2To4,40.824814,-73.890801,1975,18,NY ,1057 Hoe Ave APT 8D,04/18/2017,2094847257,10459
19,1,2,9 days ago,18300,MultiFamily5Plus,40.840691,-73.887552,1625,19,NY ,878 E 176th St,12/31/1969,2125309924,10460
20,1,1,2 days ago,250,MultiFamily5Plus,40.867316,-73.866586,250,20,NY ,2753 Cruger Ave # 1,12/31/1969,2094564649,10467
21,1,4,3 days ago,1200,MultiFamily2To4,40.87642,-73.872945,2100,21,NY ,3311 Parkside Pl,04/18/2017,29788921,10467
22,1,3,5 days ago,1300,MultiFamily5Plus,40.866986,-73.870281,1950,22,NY ,2820 Bronx Park E,12/31/1969,2095384401,10467
23,1,3,1 day ago,1250,Townhouse,40.876215,-73.887355,1950,23,NY ,3167 Villa Ave,12/31/1969,29788395,10468
